layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strength,elongation
0.05,5.3,22,grid,201,67,50,pla,100,100,7,0.75
0.17,2.8,89,honeycomb,223,66,59,abs,100,290,33,1.66
0.03,7.2,26,honeycomb,231,83,72,abs,75,33,11,0.78
0.18,7.0,56,grid,201,63,40,pla,50,279,23,1.39
0.16,2.9,58,honeycomb,201,67,67,abs,25,68,11,1.87
0.16,4.6,93,honeycomb,200,60,59,pla,50,343,9,1.96
0.17,2.5,87,honeycomb,230,65,48,abs,25,187,37,2.76
0.06,4.8,82,grid,213,61,123,pla,25,231,22,0.84
0.04,8.9,92,grid,228,65,51,abs,75,97,35,1.43
0.15,2.1,15,honeycomb,202,68,45,abs,75,209,5,1.34
0.07,4.2,99,grid,200,60,53,pla,0,142,16,2.07
0.03,8.8,83,honeycomb,203,65,74,pla,100,142,7,0.62
0.18,5.8,30,grid,210,61,66,abs,0,347,14,0.71
0.14,7.5,84,grid,201,60,41,pla,25,136,29,1.59
0.02,7.3,95,honeycomb,223,74,43,pla,100,10,8,1.17
0.06,7.5,71,honeycomb,200,60,113,pla,0,35,27,2.7
0.04,4.6,52,honeycomb,214,64,71,abs,100,41,11,1.26
0.05,3.0,83,honeycomb,200,62,42,pla,100,53,23,2.32
0.19,8.1,63,grid,250,75,46,abs,0,243,31,1.62
0.02,4.9,19,grid,208,65,42,pla,50,9,17,1.51
0.02,5.9,54,honeycomb,219,61,47,abs,50,40,8,0.65
0.1,2.3,31,grid,207,65,76,pla,75,73,36,2.86
0.14,8.1,76,grid,200,60,48,abs,0,56,29,2.7
0.07,2.2,34,grid,206,70,51,pla,0,35,7,1.7
0.15,9.6,87,grid,204,62,120,abs,50,227,32,2.07
0.13,9.9,46,grid,203,84,40,pla,100,105,19,1.74
0.11,5.7,29,grid,212,123,72,abs,100,221,10,0.64
0.18,9.1,61,honeycomb,205,68,83,abs,75,318,27,1.33
0.1,2.6,48,honeycomb,204,63,41,abs,25,13,32,2.79
0.17,4.3,72,honeycomb,200,64,66,abs,50,281,18,1.22
0.17,2.1,76,grid,201,61,92,abs,0,250,15,1.46
0.03,5.2,87,grid,200,60,75,abs,0,10,18,2.25
0.17,6.3,83,grid,200,60,41,pla,0,235,28,2.15
0.13,5.7,72,grid,229,68,59,pla,50,220,21,1.85
0.03,6.5,33,grid,202,62,40,pla,75,21,5,2.03
0.07,10.2,28,honeycomb,201,69,58,pla,100,77,17,2.44
0.03,8.0,66,grid,209,75,49,abs,25,32,22,1.16
0.04,11.7,70,honeycomb,200,61,51,abs,0,45,17,2.73
0.14,2.4,89,grid,220,63,71,pla,100,265,31,0.74
0.14,7.4,19,grid,204,60,62,abs,50,339,9,1.2
0.1,3.5,32,honeycomb,204,63,42,abs,25,39,25,1.46
0.04,11.9,90,grid,200,60,45,pla,25,51,34,2.61
0.04,8.2,43,honeycomb,200,63,41,pla,100,144,26,1.66
0.08,2.5,43,grid,210,67,51,abs,25,13,26,1.09
0.04,2.8,72,honeycomb,204,64,87,abs,50,53,13,1.2
0.12,2.8,74,grid,207,67,68,pla,75,68,29,1.68
0.09,4.3,26,honeycomb,207,61,41,abs,0,188,29,2.25
